client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_6,3.9412281502421544,0.8628571428571429,115,6.086956521739131,7.461862708805768,0.13409891724586487,0.8695652173913043,client_6,92,3,0.01,0.01,0.1730365753173828,92231
client_3,3.7620404879326617,0.6,165,6.666666666666667,6.003366059170809,0.3409368693828583,0.696969696969697,client_3,132,3,0.01,0.01,0.14971923828125,92231
client_2,0.42923597048109097,0.6121794871794872,189,6.603174603174603,5.951851828334183,0.2894843816757202,0.7631578947368421,client_2,151,3,0.01,0.01,0.15271306037902832,92231
client_8,6.459999373199401,0.7682926829268293,102,6.431372549019608,5.413327424272773,0.248801589012146,0.8095238095238095,client_8,81,3,0.01,0.01,0.1558971405029297,92231
client_9,11.408190753285892,0.96875,99,6.4646464646464645,5.2633920224588495,0.0110049182549119,1.0,client_9,79,3,0.01,0.01,0.15894627571105957,92231
client_4,3.9382603584904325,0.7046413502109705,153,6.196078431372549,6.446419509354053,0.23264680802822113,0.6451612903225806,client_4,122,3,0.01,0.01,0.16550588607788086,92231
client_5,7.882329431708232,0.93359375,131,7.816793893129771,6.633021172403304,0.03600368648767471,0.9259259259259259,client_5,104,3,0.01,0.01,0.16000676155090332,92231
client_0,5.9602936522018695,0.9581151832460733,379,8.063324538258575,14.854659122799463,0.10126081854104996,0.9868421052631579,client_0,303,3,0.01,0.01,0.17102837562561035,92231
client_1,2.166983952079415,0.8167006109979633,227,8.651982378854626,12.414200091491349,0.1424790918827057,0.782608695652174,client_1,181,3,0.01,0.01,0.16702818870544434,92231
client_7,6.247128595002199,0.9536082474226805,112,6.928571428571429,4.008282241885199,0.03161591291427612,1.0,client_7,89,3,0.01,0.01,0.17553472518920898,92231
