client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_6,11.78659005346697,0.96,93,5.376344086021505,3.5557434335840066,0.09402567148208618,0.9473684210526315,client_6,74,3,0.01,0.01,0.39124631881713867,237446
client_1,0.4629006636672657,0.49127906976744184,176,7.818181818181818,6.668353781013746,0.5193386673927307,0.7222222222222222,client_1,140,3,0.01,0.01,0.39624714851379395,237446
client_8,3.365480018330079,0.5581395348837209,83,6.216867469879518,4.301997834492473,0.28729498386383057,0.5882352941176471,client_8,66,3,0.01,0.01,0.43125200271606445,237446
client_3,1.5744923422936095,0.883177570093458,151,5.66887417218543,4.4060792655263405,0.053511518985033035,0.8387096774193549,client_3,120,3,0.01,0.01,0.37525010108947754,237446
client_0,0.8012568171558705,0.8677098150782361,268,10.492537313432836,14.914555781485934,0.1034066379070282,0.8148148148148148,client_0,214,3,0.01,0.01,0.41324877738952637,237446
client_5,4.513255048900128,0.8497409326424871,120,6.433333333333334,5.8775467293383175,0.20083746314048767,0.7916666666666666,client_5,96,3,0.01,0.01,0.43125343322753906,237446
client_4,7.537220696902089,0.8245614035087719,144,6.333333333333333,4.642796092394707,0.1528165638446808,0.7931034482758621,client_4,115,3,0.01,0.01,0.4002499580383301,237446
client_9,0.351970149019537,0.5567010309278351,81,4.790123456790123,3.2611292802170975,0.4418034851551056,0.4117647058823529,client_9,64,3,0.01,0.01,0.43762946128845215,237446
client_2,5.190914108309655,0.7786259541984732,161,6.509316770186335,7.872523183346458,0.17133906483650208,0.8181818181818182,client_2,128,3,0.01,0.01,0.40725040435791016,237446
client_7,0.7163549323183452,0.5284552845528455,90,5.466666666666667,3.9530578880996248,0.4847104847431183,0.5555555555555556,client_7,72,3,0.01,0.01,0.38524651527404785,237446
