client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,fit_duration,num_params
client_2,0.005229368615893284,0.2245430809399478,1080,4.964814814814815,5.705639101651895,1.1585109233856201,0.24537037037037038,client_2,864,3,0.01,0.3786187171936035,60037
client_1,0.001959292893321238,0.2149510389300215,1719,9.742873763816172,12.776832177451277,1.1056904792785645,0.25,client_1,1375,3,0.01,0.12853050231933594,60037
client_0,0.0004642809963294617,0.21697154471544716,1745,6.766762177650429,8.092235912691233,0.9994820952415466,0.24355300859598855,client_0,1396,3,0.01,0.3686251640319824,60037
client_9,0.026344727349193575,0.2716049382716049,173,2.8092485549132946,2.1620815306451493,1.439461350440979,0.2,client_9,138,3,0.01,0.34359288215637207,60037
client_5,0.028114737324186297,0.23918575063613232,259,3.034749034749035,2.9504840638694723,1.425209641456604,0.2692307692307692,client_5,207,3,0.01,0.35710597038269043,60037
client_4,0.008382720269687099,0.2275449101796407,461,3.6225596529284165,3.493509749223062,1.30807363986969,0.1935483870967742,client_4,368,3,0.01,0.3460969924926758,60037
client_8,0.012947358321014013,0.19518072289156627,216,3.8425925925925926,3.772861270621084,1.4484913349151611,0.2727272727272727,client_8,172,3,0.01,0.3530919551849365,60037
client_7,0.017463636203039083,0.2852852852852853,225,2.96,3.1627273743470905,1.5598915815353394,0.3111111111111111,client_7,180,3,0.01,0.35610413551330566,60037
client_3,0.0018400351187469917,0.23822222222222222,850,2.6470588235294117,19.549036914657904,1.0679932832717896,0.3235294117647059,client_3,680,3,0.01,0.32660961151123047,60037
client_6,0.01762340716603209,0.2072892938496583,226,3.8849557522123894,4.551090917336759,1.5017842054367065,0.17391304347826086,client_6,180,3,0.01,0.3650956153869629,60037
