client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,tau,fit_duration,num_params
client_7,5.844092805753289,0.8192903304475064,805,40.75031055900621,33.81239458917194,2.00895357131958,0.7577639751552795,client_7,644,3,0.01,3,2.8015737533569336,49802
client_4,6.788233859693307,0.7091624508150647,1333,53.383345836459114,51.35914984962754,1.0381197929382324,0.29213483146067415,client_4,1066,3,0.01,3,3.0806238651275635,49802
client_8,4.255661813859261,0.9662406223951098,780,36.91282051282051,36.6541366433633,0.6595856547355652,0.9230769230769231,client_8,624,3,0.01,3,2.9349753856658936,49802
client_3,4.580548930863219,0.8543063434760185,1439,97.01737317581654,149.04970829394168,1.3926081657409668,0.90625,client_3,1151,3,0.01,3,3.092132329940796,49802
client_1,5.79406001689728,0.9273827910916247,1603,100.16718652526512,142.24278576544813,0.3174758553504944,0.9470404984423676,client_1,1282,3,0.01,3,2.963974714279175,49802
client_2,3.868240003780773,0.9360089067967342,1472,51.255434782608695,35.18275227181154,0.42167189717292786,0.9186440677966101,client_2,1177,3,0.01,3,3.053605794906616,49802
client_5,2.159585096000168,0.6493109816735332,1141,49.353198948290974,67.42244976014892,3.3222038745880127,0.23580786026200873,client_5,912,3,0.01,3,2.9332990646362305,49802
client_0,1.7884484936334533,0.7199762970766395,1653,36.75257108287961,53.38148046927785,7.008930683135986,0.26586102719033233,client_0,1322,3,0.01,3,3.065603494644165,49802
client_6,3.563415111299788,0.7953344268270457,961,45.67741935483871,50.80521247848877,2.5926806926727295,0.5440414507772021,client_6,768,3,0.01,3,2.9996755123138428,49802
client_9,8.11810500381765,0.9986975397973951,746,37.05093833780161,44.4846580828666,0.11668697744607925,0.9866666666666667,client_9,596,3,0.01,3,2.860750913619995,49802
