client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,tau,fit_duration,num_params
client_6,0.0036851660653708686,0.7335064935064936,1202,6.405990016638935,9.014403194424322,0.6890066266059875,0.7759336099585062,client_6,961,3,0.01,3,0.837322473526001,32259
client_4,0.7404686374108617,0.9189536878216124,1362,6.848751835535976,12.221969424819953,0.38875433802604675,0.8937728937728938,client_4,1089,3,0.01,3,0.829026460647583,32259
client_9,0.5771487996099588,0.8028673835125448,907,7.38257993384785,11.269097218016233,0.5713924765586853,0.7802197802197802,client_9,725,3,0.01,3,0.7664992809295654,32259
client_2,0.5390380542684369,0.8862478777589134,1557,6.052665382145151,9.15153529340855,0.43261992931365967,0.8012820512820513,client_2,1245,3,0.01,3,0.7989535331726074,32259
client_3,0.5975229993500939,0.8897935446350683,1396,9.853868194842407,15.021908287234258,0.42711588740348816,0.8535714285714285,client_3,1116,3,0.01,3,0.7701742649078369,32259
client_0,1.253703490280915,0.7692415337251609,2012,14.20675944333996,19.284956230567285,0.4663114845752716,0.8486352357320099,client_0,1609,3,0.01,3,0.7804965972900391,32259
client_8,1.0642101225551635,0.9699630314232902,930,9.30752688172043,14.649233798152492,0.2939969003200531,0.9247311827956989,client_8,744,3,0.01,3,0.7654969692230225,32259
client_5,0.39650159716885347,0.7336515513126491,1244,6.736334405144695,10.101952856511598,0.7474675178527832,0.8032128514056225,client_5,995,3,0.01,3,0.710162878036499,32259
client_1,0.6750955266866985,0.8196953595465817,1593,7.088512241054614,11.049978334888882,0.48192429542541504,0.8181818181818182,client_1,1274,3,0.01,3,0.794497013092041,32259
client_7,0.2461456707508261,0.7859778597785978,1086,7.985267034990792,10.375268275062629,0.6332050561904907,0.7844036697247706,client_7,868,3,0.01,3,0.8223118782043457,32259
