client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_7,0.017463636203039083,0.2852852852852853,225,2.96,3.1627273743470905,0.867847204208374,0.3333333333333333,client_7,180,3,0.01,0.01,0.3550705909729004,60037
client_0,0.0004642809963294617,0.21697154471544716,1745,6.766762177650429,8.092235912691233,1.3768303394317627,0.22922636103151864,client_0,1396,3,0.01,0.01,0.3661367893218994,60037
client_2,0.005229368615893284,0.2245430809399478,1080,4.964814814814815,5.705639101651895,1.2928345203399658,0.21296296296296297,client_2,864,3,0.01,0.01,0.3484363555908203,60037
client_4,0.008382720269687099,0.2275449101796407,461,3.6225596529284165,3.493509749223062,1.0007444620132446,0.21505376344086022,client_4,368,3,0.01,0.01,0.309523344039917,60037
client_1,0.001959292893321238,0.2149510389300215,1719,9.742873763816172,12.776832177451277,1.51775324344635,0.2877906976744186,client_1,1375,3,0.01,0.01,0.36342358589172363,60037
client_5,0.028114737324186297,0.23918575063613232,259,3.034749034749035,2.9504840638694723,0.8378821611404419,0.2692307692307692,client_5,207,3,0.01,0.01,0.16734027862548828,60037
client_9,0.026344727349193575,0.2716049382716049,173,2.8092485549132946,2.1620815306451493,0.816802978515625,0.2857142857142857,client_9,138,3,0.01,0.01,0.3552896976470947,60037
client_8,0.012947358321014013,0.19518072289156627,216,3.8425925925925926,3.772861270621084,0.892094612121582,0.36363636363636365,client_8,172,3,0.01,0.01,0.3429067134857178,60037
client_6,0.01762340716603209,0.2072892938496583,226,3.8849557522123894,4.551090917336759,0.8682076930999756,0.21739130434782608,client_6,180,3,0.01,0.01,0.3611161708831787,60037
client_3,0.0018400351187469917,0.23822222222222222,850,2.6470588235294117,19.549036914657904,1.0056390762329102,0.31176470588235294,client_3,680,3,0.01,0.01,0.3563425540924072,60037
