client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_3,0.1123685419640091,0.25806451612903225,22,2.8181818181818183,2.1874926210029026,0.4516863524913788,0.4,client_3,17,3,0.01,0.01,0.026003360748291016,109381
client_5,2.4283466757688257,0.0,16,4.5,3.142451272494134,0.14079299569129944,0.25,client_5,12,3,0.01,0.01,0.026997804641723633,109381
client_2,0.014815332635872043,0.23404255319148937,26,3.6153846153846154,2.9881422460853897,1.0112699270248413,0.3333333333333333,client_2,20,3,0.01,0.01,0.02799844741821289,109381
client_8,6.609389814175352,0.3333333333333333,13,4.153846153846154,2.475919529143243,0.3448130786418915,0.6666666666666666,client_8,10,3,0.01,0.01,0.02600264549255371,109381
client_7,2.4471130540376205,0.0,14,2.2857142857142856,1.1605769149479945,1.3683724403381348,0.0,client_7,11,3,0.01,0.01,0.025005102157592773,109381
client_4,0.9389107023045722,0.10344827586206896,16,3.625,2.7128168017763383,0.8232906460762024,0.25,client_4,12,3,0.01,0.01,0.026996135711669922,109381
client_9,5.946763330378008,0.09090909090909091,13,3.3846153846153846,2.558198330510137,0.8135203719139099,0.3333333333333333,client_9,10,3,0.01,0.01,0.0229952335357666,109381
client_6,5.039646426693624,0.037037037037037035,14,3.857142857142857,3.4611546970244906,0.031645189970731735,0.0,client_6,11,3,0.01,0.01,0.025995254516601562,109381
client_1,5.027676244910159,0.3888888888888889,33,3.272727272727273,2.5017899927939746,0.17571693658828735,0.42857142857142855,client_1,26,3,0.01,0.01,0.02099323272705078,109381
client_0,0.07138007585415483,0.13793103448275862,47,2.4680851063829787,5.782773625282901,0.46069446206092834,0.3,client_0,37,3,0.01,0.01,0.023996829986572266,109381
