client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_3,3.7620404879326617,0.6,165,6.666666666666667,6.003366059170809,0.3592579960823059,0.696969696969697,client_3,132,3,0.01,0.01,0.1521134376525879,92231
client_0,5.9602936522018695,0.9581151832460733,379,8.063324538258575,14.854659122799463,0.04255518689751625,0.9868421052631579,client_0,303,3,0.01,0.01,0.14366507530212402,92231
client_5,7.882329431708232,0.93359375,131,7.816793893129771,6.633021172403304,0.05037957429885864,0.9259259259259259,client_5,104,3,0.01,0.01,0.11618375778198242,92231
client_8,6.459999373199401,0.7682926829268293,102,6.431372549019608,5.413327424272773,0.1779540479183197,0.8571428571428571,client_8,81,3,0.01,0.01,0.15198945999145508,92231
client_9,11.408190753285892,0.96875,99,6.4646464646464645,5.2633920224588495,0.016166673973202705,1.0,client_9,79,3,0.01,0.01,0.1549851894378662,92231
client_1,2.166983952079415,0.8167006109979633,227,8.651982378854626,12.414200091491349,0.10037293285131454,0.7608695652173914,client_1,181,3,0.01,0.01,0.15320897102355957,92231
client_2,0.42923597048109097,0.6121794871794872,189,6.603174603174603,5.951851828334183,0.28359612822532654,0.7894736842105263,client_2,151,3,0.01,0.01,0.1609652042388916,92231
client_7,6.247128595002199,0.9536082474226805,112,6.928571428571429,4.008282241885199,0.06726992875337601,1.0,client_7,89,3,0.01,0.01,0.15518832206726074,92231
client_4,3.9382603584904325,0.7046413502109705,153,6.196078431372549,6.446419509354053,0.18550314009189606,0.8387096774193549,client_4,122,3,0.01,0.01,0.16001057624816895,92231
client_6,3.9412281502421544,0.8628571428571429,115,6.086956521739131,7.461862708805768,0.15041017532348633,0.8695652173913043,client_6,92,3,0.01,0.01,0.12954187393188477,92231
