client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,fit_duration,num_params
client_9,8.11810500381765,0.9986975397973951,746,37.05093833780161,44.4846580828666,0.08342217653989792,0.9866666666666667,client_9,596,3,0.01,2.878763437271118,49802
client_3,4.580548930863219,0.8543063434760185,1439,97.01737317581654,149.04970829394168,0.7134622931480408,0.3020833333333333,client_3,1151,3,0.01,3.0967791080474854,49802
client_6,3.563415111299788,0.7953344268270457,961,45.67741935483871,50.80521247848877,5.023221492767334,0.844559585492228,client_6,768,3,0.01,3.0272490978240967,49802
client_7,5.844092805753289,0.8192903304475064,805,40.75031055900621,33.81239458917194,2.388582229614258,0.5403726708074534,client_7,644,3,0.01,3.01047682762146,49802
client_2,3.868240003780773,0.9360089067967342,1472,51.255434782608695,35.18275227181154,2.37827467918396,0.030508474576271188,client_2,1177,3,0.01,2.911776065826416,49802
client_1,5.79406001689728,0.9273827910916247,1603,100.16718652526512,142.24278576544813,0.7654896378517151,0.956386292834891,client_1,1282,3,0.01,2.7379982471466064,49802
client_0,1.7884484936334533,0.7199762970766395,1653,36.75257108287961,53.38148046927785,3.204392910003662,0.6858006042296072,client_0,1322,3,0.01,3.034257650375366,49802
client_8,4.255661813859261,0.9662406223951098,780,36.91282051282051,36.6541366433633,1.8249120712280273,0.03205128205128205,client_8,624,3,0.01,2.817518711090088,49802
client_4,6.788233859693307,0.7091624508150647,1333,53.383345836459114,51.35914984962754,0.8091737627983093,0.6629213483146067,client_4,1066,3,0.01,2.9647841453552246,49802
client_5,2.159585096000168,0.6493109816735332,1141,49.353198948290974,67.42244976014892,2.799083948135376,0.38427947598253276,client_5,912,3,0.01,3.0523386001586914,49802
