client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,mu,fit_duration,num_params
client_9,0.11384258445442691,0.17647058823529413,10,3.4,3.1685959035509716,2.59881329536438,1.0,client_9,8,3,0.01,0.01,0.02296924591064453,109381
client_7,0.19950127706495757,0.07142857142857142,11,2.5454545454545454,1.776801844153824,0.18408416211605072,0.6666666666666666,client_7,8,3,0.01,0.01,0.022052288055419922,109381
client_4,2.0772228409117726,0.11764705882352941,13,2.6153846153846154,2.2027417020425157,0.1841580718755722,0.3333333333333333,client_4,10,3,0.01,0.01,0.0230562686920166,109381
client_0,3.8647964446524155,0.061224489795918366,45,2.1777777777777776,5.885156049621375,0.23280441761016846,0.6666666666666666,client_0,36,3,0.01,0.01,0.020049095153808594,109381
client_3,0.1458984640077672,0.08333333333333333,16,3.0,2.1505813167606567,0.2936537563800812,0.5,client_3,12,3,0.01,0.01,0.01703953742980957,109381
client_6,2.3180773487318542,0.14285714285714285,11,2.5454545454545454,1.4373989364401725,0.6658461689949036,0.6666666666666666,client_6,8,3,0.01,0.01,0.020967483520507812,109381
client_1,2.0803696296218357,0.18181818181818182,17,2.588235294117647,1.6109486985446062,0.08399242907762527,0.5,client_1,13,3,0.01,0.01,0.021972179412841797,109381
client_8,3.779271287737407,0.125,11,2.909090909090909,1.7296634173127683,0.4282824993133545,0.0,client_8,8,3,0.01,0.01,0.020317554473876953,109381
client_2,0.3405457918811653,0.21428571428571427,16,3.5,3.0,1.080957293510437,0.75,client_2,12,3,0.01,0.01,0.01732015609741211,109381
client_5,2.1547055893315306,0.0,12,2.0,1.1547005383792515,0.6376563906669617,0.0,client_5,9,3,0.01,0.01,0.025485992431640625,109381
