client,label_skew,homophily,largest_component_size,avg_degree,std_degree,loss,accuracy,client_id,num_samples,local_epochs,learning_rate,tau,fit_duration,num_params
client_5,0.028114737324186297,0.23918575063613232,259,3.034749034749035,2.9504840638694723,1.296028733253479,0.23076923076923078,client_5,207,3,0.01,3,0.27638673782348633,60037
client_8,0.012947358321014013,0.19518072289156627,216,3.8425925925925926,3.772861270621084,1.3797564506530762,0.2727272727272727,client_8,172,3,0.01,3,0.2863900661468506,60037
client_4,0.008382720269687099,0.2275449101796407,461,3.6225596529284165,3.493509749223062,1.2703266143798828,0.23655913978494625,client_4,368,3,0.01,3,0.3050241470336914,60037
client_0,0.0004642809963294617,0.21697154471544716,1745,6.766762177650429,8.092235912691233,1.1686668395996094,0.2521489971346705,client_0,1396,3,0.01,3,0.27507805824279785,60037
client_1,0.001959292893321238,0.2149510389300215,1719,9.742873763816172,12.776832177451277,1.216130018234253,0.26453488372093026,client_1,1375,3,0.01,3,0.3279132843017578,60037
client_9,0.026344727349193575,0.2716049382716049,173,2.8092485549132946,2.1620815306451493,1.3046257495880127,0.2571428571428571,client_9,138,3,0.01,3,0.2976036071777344,60037
client_3,0.0018400351187469917,0.23822222222222222,850,2.6470588235294117,19.549036914657904,1.1528791189193726,0.31176470588235294,client_3,680,3,0.01,3,0.22785329818725586,60037
client_6,0.01762340716603209,0.2072892938496583,226,3.8849557522123894,4.551090917336759,1.3273141384124756,0.17391304347826086,client_6,180,3,0.01,3,0.26238131523132324,60037
client_2,0.005229368615893284,0.2245430809399478,1080,4.964814814814815,5.705639101651895,1.2844589948654175,0.22685185185185186,client_2,864,3,0.01,3,0.22685813903808594,60037
client_7,0.017463636203039083,0.2852852852852853,225,2.96,3.1627273743470905,1.3105247020721436,0.37777777777777777,client_7,180,3,0.01,3,0.31161022186279297,60037
